date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disaster_norm,environmental cooperation_norm,environmental government initiatives_norm,environmental security_norm,environmental -999_norm,environmental arrest_norm,human-induced disaster_norm,displacement_norm,-999_norm,environmental legal action_norm,environmental opinion_norm,slow-onset environmental disaster_norm,environmental corruption_norm,environmental crime_norm,environmental legal change_norm,environmental activism_norm,environmental corporate initiatives_norm,lethal environmental violence_norm,environmental protests_norm,nonlethal environmental violence_norm
2015-08-01,2015,8,1,0,1,0,4,0,1,0,3,1,2,12,0,2,0,0,0,0,0,0,26,26,27,2276,0.0004393673110720560,0.0,0.0004393673110720560,0.0,0.0017574692442882200,0.0,0.0004393673110720560,0.0,0.0013181019332161700,0.0004393673110720560,0.0008787346221441120,0.005272407732864680,0.0,0.0008787346221441120,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015,9,5,0,2,0,7,0,3,0,5,0,9,0,0,0,0,2,0,0,0,0,30,30,33,2238,0.002234137622877570,0.0,0.0008936550491510280,0.0,0.003127792672028600,0.0,0.0013404825737265400,0.0,0.002234137622877570,0.0,0.004021447721179630,0.0,0.0,0.0,0.0,0.0008936550491510280,0.0,0.0,0.0,0.0
2015-10-01,2015,10,5,0,4,0,10,0,3,0,9,0,9,3,0,0,1,0,1,0,2,0,44,44,47,2362,0.0021168501270110100,0.0,0.001693480101608810,0.0,0.004233700254022020,0.0,0.0012701100762066000,0.0,0.003810330228619810,0.0,0.003810330228619810,0.0012701100762066000,0.0,0.0,0.0004233700254022020,0.0,0.0004233700254022020,0.0,0.000846740050804403,0.0
2015-11-01,2015,11,1,0,3,0,5,0,4,0,5,0,14,2,0,0,1,0,2,0,1,0,34,34,38,2121,0.0004714757190004720,0.0,0.0014144271570014100,0.0,0.0023573785950023600,0.0,0.001885902876001890,0.0,0.0023573785950023600,0.0,0.006600660066006600,0.000942951438000943,0.0,0.0,0.0004714757190004720,0.0,0.000942951438000943,0.0,0.0004714757190004720,0.0
2015-12-01,2015,12,3,1,5,0,15,0,0,0,10,0,12,5,1,1,1,2,0,0,0,0,52,52,56,2396,0.0012520868113522500,0.00041736227045075100,0.002086811352253760,0.0,0.006260434056761270,0.0,0.0,0.0,0.004173622704507510,0.0,0.005008347245409020,0.002086811352253760,0.00041736227045075100,0.00041736227045075100,0.00041736227045075100,0.0008347245409015030,0.0,0.0,0.0,0.0
2016-01-01,2016,1,7,0,2,0,23,1,4,1,11,0,10,4,0,0,2,0,1,0,0,0,56,56,66,2480,0.00282258064516129,0.0,0.0008064516129032260,0.0,0.009274193548387100,0.0004032258064516130,0.0016129032258064500,0.0004032258064516130,0.004435483870967740,0.0,0.004032258064516130,0.0016129032258064500,0.0,0.0,0.0008064516129032260,0.0,0.0004032258064516130,0.0,0.0,0.0
2016-02-01,2016,2,5,0,3,0,20,0,7,0,7,0,8,4,1,1,1,1,0,0,0,0,56,56,58,2379,0.002101723413198820,0.0,0.0012610340479192900,0.0,0.008406893652795290,0.0,0.0029424127784783500,0.0,0.0029424127784783500,0.0,0.003362757461118120,0.0016813787305590600,0.0004203446826397650,0.0004203446826397650,0.0004203446826397650,0.0004203446826397650,0.0,0.0,0.0,0.0
2016-03-01,2016,3,9,2,3,0,18,0,8,1,12,0,11,2,0,0,1,0,4,0,0,0,63,63,71,2682,0.003355704697986580,0.0007457121551081280,0.0011185682326621900,0.0,0.006711409395973150,0.0,0.002982848620432510,0.0003728560775540640,0.0044742729306487700,0.0,0.004101416853094710,0.0007457121551081280,0.0,0.0,0.0003728560775540640,0.0,0.0014914243102162600,0.0,0.0,0.0
2016-04-01,2016,4,1,2,6,1,18,0,4,1,12,1,11,1,0,0,0,1,2,0,0,0,55,55,61,2489,0.0004017677782241860,0.0008035355564483730,0.0024106066693451200,0.0004017677782241860,0.007231820008035360,0.0,0.0016070711128967500,0.0004017677782241860,0.004821213338690240,0.0004017677782241860,0.0044194455604660500,0.0004017677782241860,0.0,0.0,0.0,0.0004017677782241860,0.0008035355564483730,0.0,0.0,0.0
2016-05-01,2016,5,4,2,7,2,14,0,3,0,13,0,19,2,0,0,2,1,0,0,0,0,61,61,69,2453,0.0016306563391765200,0.0008153281695882590,0.0028536485935589100,0.0008153281695882590,0.005707297187117820,0.0,0.0012229922543823900,0.0,0.005299633102323690,0.0,0.0077456176110884600,0.0008153281695882590,0.0,0.0,0.0008153281695882590,0.00040766408479413000,0.0,0.0,0.0,0.0
2016-06-01,2016,6,3,0,4,0,13,0,4,0,7,0,8,5,0,0,0,1,1,0,1,0,45,45,47,2346,0.0012787723785166200,0.0,0.0017050298380221700,0.0,0.005541346973572040,0.0,0.0017050298380221700,0.0,0.0029838022165387900,0.0,0.0034100596760443300,0.002131287297527710,0.0,0.0,0.0,0.00042625745950554100,0.00042625745950554100,0.0,0.00042625745950554100,0.0
2016-07-01,2016,7,3,3,7,1,25,0,15,0,13,1,18,3,1,4,3,2,3,0,1,0,94,94,103,2202,0.0013623978201634900,0.0013623978201634900,0.003178928247048140,0.00045413260672116300,0.011353315168029100,0.0,0.006811989100817440,0.0,0.005903723887375110,0.00045413260672116300,0.008174386920980930,0.0013623978201634900,0.00045413260672116300,0.0018165304268846500,0.0013623978201634900,0.0009082652134423250,0.0013623978201634900,0.0,0.00045413260672116300,0.0
2016-08-01,2016,8,11,3,3,0,22,0,14,1,16,0,22,11,0,0,0,3,1,0,0,1,95,95,108,2239,0.004912907548012510,0.0013398838767306800,0.0013398838767306800,0.0,0.00982581509602501,0.0,0.006252791424743190,0.00044662795891022800,0.007146047342563640,0.0,0.00982581509602501,0.004912907548012510,0.0,0.0,0.0,0.0013398838767306800,0.00044662795891022800,0.0,0.0,0.00044662795891022800
2016-09-01,2016,9,4,4,7,0,20,0,4,1,14,0,21,0,0,0,0,0,1,0,0,0,66,66,76,2383,0.001678556441460340,0.001678556441460340,0.0029374737725556000,0.0,0.00839278220730172,0.0,0.001678556441460340,0.000419639110365086,0.005874947545111210,0.0,0.008812421317666810,0.0,0.0,0.0,0.0,0.0,0.000419639110365086,0.0,0.0,0.0
2016-10-01,2016,10,3,5,13,0,50,0,8,1,15,0,32,5,0,1,4,4,4,0,1,0,131,131,146,2681,0.0011189854531891100,0.001864975755315180,0.00484893696381947,0.0,0.01864975755315180,0.0,0.0029839612085042900,0.0003729951510630360,0.005594927265945540,0.0,0.011935844834017200,0.001864975755315180,0.0,0.0003729951510630360,0.0014919806042521400,0.0014919806042521400,0.0014919806042521400,0.0,0.0003729951510630360,0.0
2016-11-01,2016,11,8,14,21,1,161,0,14,3,27,1,187,16,1,2,3,7,13,0,1,0,426,426,480,2668,0.0029985007496251900,0.005247376311844080,0.007871064467766120,0.0003748125937031480,0.0603448275862069,0.0,0.005247376311844080,0.0011244377811094500,0.010119940029985000,0.0003748125937031480,0.07008995502248880,0.005997001499250380,0.0003748125937031480,0.0007496251874062970,0.0011244377811094500,0.002623688155922040,0.004872563718140930,0.0,0.0003748125937031480,0.0
2016-12-01,2016,12,6,1,8,0,40,0,10,1,15,0,18,5,0,2,0,1,3,0,0,0,95,95,110,2822,0.002126151665485470,0.00035435861091424500,0.002834868887313960,0.0,0.014174344436569800,0.0,0.003543586109142450,0.00035435861091424500,0.005315379163713680,0.0,0.0063784549964564100,0.001771793054571230,0.0,0.0007087172218284910,0.0,0.00035435861091424500,0.0010630758327427400,0.0,0.0,0.0
2017-01-01,2017,1,10,2,10,0,38,0,11,0,16,1,10,7,0,2,2,3,2,0,1,0,100,100,115,3103,0.003222687721559780,0.0006445375443119560,0.003222687721559780,0.0,0.012246213341927200,0.0,0.003544956493715760,0.0,0.00515630035449565,0.0003222687721559780,0.003222687721559780,0.0022558814050918500,0.0,0.0006445375443119560,0.0006445375443119560,0.0009668063164679340,0.0006445375443119560,0.0,0.0003222687721559780,0.0
